,loss,auc,PR,accuracy,precision,recall,val_loss,val_auc,val_PR,val_accuracy,val_precision,val_recall
0,0.30145782232284546,0.829731285572052,0.5076878666877747,0.892371416091919,0.6880907416343689,0.3003300428390503,0.1806889772415161,0.9582540988922119,0.8113298416137695,0.9287762641906738,0.8622754216194153,0.5333333611488342
1,0.25406432151794434,0.8936671018600464,0.6466457843780518,0.9084678888320923,0.7470049262046814,0.43729373812675476,0.158429354429245,0.9636834263801575,0.8279985189437866,0.9412046074867249,0.8387096524238586,0.6740740537643433
2,0.22749042510986328,0.9144461154937744,0.704761803150177,0.9164896011352539,0.7448275685310364,0.5346534848213196,0.15781429409980774,0.9662997126579285,0.843189001083374,0.9416825771331787,0.9111111164093018,0.6074073910713196
3,0.20154687762260437,0.9326772093772888,0.7515184283256531,0.9259987473487854,0.7734748125076294,0.6014851331710815,0.17980505526065826,0.970485270023346,0.8621123433113098,0.923518180847168,0.9365079402923584,0.43703705072402954
4,0.20141200721263885,0.9354760646820068,0.7630456686019897,0.9285486340522766,0.7868155241012573,0.6105610728263855,0.14081020653247833,0.9707769155502319,0.8634698390960693,0.9435946345329285,0.8423423171043396,0.6925926208496094
5,0.19467610120773315,0.9448590874671936,0.7905802726745605,0.9313642382621765,0.7827172875404358,0.6464521288871765,0.15024910867214203,0.9699220657348633,0.8636822700500488,0.942638635635376,0.9120879173278809,0.614814817905426
6,0.18588171899318695,0.9484386444091797,0.8085095882415771,0.9359328746795654,0.8088235259056091,0.6580032706260681,0.15070299804210663,0.9727537631988525,0.8716477751731873,0.9392925500869751,0.9085714221000671,0.5888888835906982
7,0.16327789425849915,0.9571198225021362,0.8265341520309448,0.9375796914100647,0.803892970085144,0.6815181374549866,0.14447040855884552,0.9759594202041626,0.8750979900360107,0.9445506930351257,0.8928571343421936,0.6481481194496155
8,0.17564445734024048,0.9569759368896484,0.832216739654541,0.9408202171325684,0.8055037260055542,0.7124587297439575,0.152771458029747,0.9644550085067749,0.853229284286499,0.9416825771331787,0.8854166865348816,0.6296296119689941
9,0.2026018351316452,0.9464734792709351,0.796566367149353,0.9326391816139221,0.7850098609924316,0.6567656993865967,0.1383316069841385,0.97381991147995,0.8769075870513916,0.9498087763786316,0.8873239159584045,0.699999988079071
