,loss,auc,PR,accuracy,precision,recall,val_loss,val_auc,val_PR,val_accuracy,val_precision,val_recall
0,0.2933472990989685,0.8255999088287354,0.5080595016479492,0.8913089632987976,0.6834951639175415,0.2904290556907654,0.18522219359874725,0.9525307416915894,0.8068623542785645,0.9354684352874756,0.9090909361839294,0.5555555820465088
1,0.23654523491859436,0.8968267440795898,0.6574870347976685,0.9101678729057312,0.7241590023040771,0.4884488582611084,0.16525962948799133,0.9620745778083801,0.8260301947593689,0.9392925500869751,0.8864864706993103,0.6074073910713196
2,0.21406635642051697,0.9172660708427429,0.7182608842849731,0.9187207818031311,0.7539772987365723,0.5474422574043274,0.16679635643959045,0.9673241972923279,0.8346799612045288,0.9392925500869751,0.903954803943634,0.5925925970077515
3,0.20352403819561005,0.9266420006752014,0.73970627784729,0.9215894341468811,0.7532051205635071,0.5816831588745117,0.16389784216880798,0.9675854444503784,0.8511242270469666,0.9388145208358765,0.898876428604126,0.5925925970077515
4,0.19070100784301758,0.935846209526062,0.7647072672843933,0.9280705451965332,0.774640679359436,0.6225247383117676,0.14931370317935944,0.9695908427238464,0.8602897524833679,0.9421606063842773,0.8743718862533569,0.644444465637207
5,0.18304377794265747,0.9405295252799988,0.7841804027557373,0.9306735992431641,0.787365198135376,0.6324257254600525,0.14048317074775696,0.970927357673645,0.8600440621376038,0.9483747482299805,0.8552631735801697,0.7222222089767456
6,0.1777539700269699,0.9451834559440613,0.7918457984924316,0.9332235455513,0.7761476635932922,0.6765676736831665,0.14420586824417114,0.9689391851425171,0.8628251552581787,0.9483747482299805,0.8970588445663452,0.6777777671813965
7,0.17596285045146942,0.9462409019470215,0.796288013458252,0.9326391816139221,0.7805825471878052,0.6633663177490234,0.1368376463651657,0.9719600081443787,0.8722202181816101,0.9517208337783813,0.8755555748939514,0.729629635810852
8,0.1685076355934143,0.9508394002914429,0.8128197193145752,0.9356141090393066,0.7845070362091064,0.6893564462661743,0.147407665848732,0.9694332480430603,0.8612028360366821,0.9450286626815796,0.8817734122276306,0.6629629731178284
9,0.16247369349002838,0.9555633664131165,0.8204789161682129,0.937207818031311,0.7840805053710938,0.7070956826210022,0.1456574946641922,0.9708612561225891,0.8702278137207031,0.9469407200813293,0.8840579986572266,0.6777777671813965
10,0.15957944095134735,0.9571541547775269,0.8301119208335876,0.9383765459060669,0.7936803102493286,0.7046204805374146,0.14297841489315033,0.9715505242347717,0.8625211715698242,0.9483747482299805,0.8616071343421936,0.7148148417472839
11,0.15372920036315918,0.9591861367225647,0.840604841709137,0.9417764544487,0.8007246255874634,0.7293729186058044,0.14314040541648865,0.9708449840545654,0.8598034381866455,0.9478967785835266,0.8744186162948608,0.6962962746620178
12,0.14943969249725342,0.9628410339355469,0.8455914258956909,0.9427326917648315,0.8092830777168274,0.7264851331710815,0.1380603313446045,0.9721978306770325,0.8635878562927246,0.9478967785835266,0.8577777743339539,0.7148148417472839
13,0.14727087318897247,0.9644279479980469,0.8508901596069336,0.9439545273780823,0.8173388838768005,0.7273102402687073,0.13356246054172516,0.9731480479240417,0.8681883811950684,0.9493308067321777,0.8445377945899963,0.7444444298744202
14,0.14967040717601776,0.9615311026573181,0.8497717380523682,0.9434764385223389,0.8162790536880493,0.7240098714828491,0.15197211503982544,0.9706803560256958,0.8648790121078491,0.9455066919326782,0.8979591727256775,0.6518518328666687
15,0.14603202044963837,0.9627578854560852,0.8562383055686951,0.9454951286315918,0.8284774422645569,0.7273102402687073,0.13740746676921844,0.9723452925682068,0.8637557625770569,0.9502868056297302,0.8547008633613586,0.7407407164573669
16,0.14483723044395447,0.9640924334526062,0.854658842086792,0.9434232711791992,0.8053932785987854,0.7392739057540894,0.1420370489358902,0.9701122641563416,0.8722886443138123,0.9493308067321777,0.8727272748947144,0.7111111283302307
17,0.1419358104467392,0.9656855463981628,0.8620869517326355,0.9449638724327087,0.8183486461639404,0.735973596572876,0.13547781109809875,0.9720413684844971,0.8677548170089722,0.9493308067321777,0.8628318309783936,0.7222222089767456
18,0.13712851703166962,0.9678198099136353,0.8678385615348816,0.949160635471344,0.8338643312454224,0.7557755708694458,0.13798904418945312,0.9737702012062073,0.8671962022781372,0.9517208337783813,0.8506224155426025,0.7592592835426331
19,0.14056670665740967,0.9664283394813538,0.8619968891143799,0.9485762715339661,0.8279279470443726,0.7582508325576782,0.13628271222114563,0.9703205823898315,0.864704430103302,0.9541109204292297,0.8655462265014648,0.7629629373550415
20,0.1328303962945938,0.9706231355667114,0.8761794567108154,0.9493200182914734,0.8275400996208191,0.7660890817642212,0.13684064149856567,0.9733036756515503,0.8657639622688293,0.9478967785835266,0.8577777743339539,0.7148148417472839
21,0.1333393156528473,0.9702116847038269,0.8734328746795654,0.9494794011116028,0.8295301795005798,0.7648515105247498,0.14242945611476898,0.9698895812034607,0.8589866757392883,0.9512428045272827,0.8589743375778198,0.7444444298744202
22,0.12743395566940308,0.9725098609924316,0.8847161531448364,0.9512856006622314,0.8374384045600891,0.7714521288871765,0.14107389748096466,0.9689942598342896,0.8537083864212036,0.9517208337783813,0.8565400838851929,0.7518518567085266
23,0.13400636613368988,0.9708237648010254,0.8714760541915894,0.9496387839317322,0.8366788029670715,0.7566006779670715,0.14708149433135986,0.9646886587142944,0.8581185936927795,0.9517208337783813,0.8626609444618225,0.7444444298744202
24,0.12643498182296753,0.9734780192375183,0.8859685063362122,0.9500105977058411,0.8365864753723145,0.7603135108947754,0.13775776326656342,0.9703348278999329,0.8647312521934509,0.95219886302948,0.8863636255264282,0.7222222089767456
25,0.12779076397418976,0.9729809165000916,0.8823456764221191,0.9506481289863586,0.8323699235916138,0.7722772359848022,0.13904991745948792,0.9697920680046082,0.8682503700256348,0.9536328911781311,0.8649789094924927,0.7592592835426331
26,0.1245148703455925,0.9731230139732361,0.8925338983535767,0.9544199109077454,0.8470744490623474,0.7883663177490234,0.13630154728889465,0.9708389043807983,0.8749690651893616,0.9555449485778809,0.8933333158493042,0.7444444298744202
27,0.1268097311258316,0.9720882773399353,0.8871740698814392,0.9558542370796204,0.8532150983810425,0.7937293648719788,0.14395228028297424,0.9695237278938293,0.8619437217712402,0.9536328911781311,0.8777292370796204,0.7444444298744202
28,0.12517309188842773,0.973706066608429,0.889053225517273,0.9532511830329895,0.8461883664131165,0.7784653306007385,0.1388269066810608,0.9678964614868164,0.8711369633674622,0.9541109204292297,0.8849557638168335,0.7407407164573669
29,0.11852409690618515,0.9767854809761047,0.899564266204834,0.9553760886192322,0.8446475267410278,0.8007425665855408,0.13840681314468384,0.9683457016944885,0.870498538017273,0.9526768922805786,0.8766520023345947,0.7370370626449585
30,0.12329313904047012,0.9743557572364807,0.8901059627532959,0.9530918002128601,0.835437536239624,0.7916666865348816,0.14324750006198883,0.9696731567382812,0.866584062576294,0.9541109204292297,0.8849557638168335,0.7407407164573669
31,0.11988767981529236,0.9754225611686707,0.8963660001754761,0.9556417465209961,0.8477023839950562,0.7990924119949341,0.13605773448944092,0.9695084691047668,0.8706403970718384,0.9517208337783813,0.8595744967460632,0.7481481432914734
32,0.11934871226549149,0.9755994081497192,0.8976701498031616,0.9553760886192322,0.8501326441764832,0.7933168411254883,0.14491215348243713,0.9685439467430115,0.8629937171936035,0.9507648348808289,0.8678414225578308,0.729629635810852
33,0.11924898624420166,0.9759383797645569,0.8971340656280518,0.9539417624473572,0.8389203548431396,0.794966995716095,0.14110839366912842,0.9710736870765686,0.8614124655723572,0.9502868056297302,0.8640350699424744,0.729629635810852
34,0.1220528781414032,0.9749119281768799,0.8921678066253662,0.9550042748451233,0.8518518805503845,0.7875412702560425,0.13377639651298523,0.9681109189987183,0.8719912767410278,0.9550669193267822,0.8666666746139526,0.770370364189148
35,0.11582152545452118,0.9784349203109741,0.9030526876449585,0.9574479460716248,0.8693673014640808,0.787953794002533,0.1324930340051651,0.9709975123405457,0.8772555589675903,0.95219886302948,0.8571428656578064,0.7555555701255798
36,0.11302835494279861,0.977887749671936,0.9085743427276611,0.9588822722434998,0.8574523329734802,0.8164191246032715,0.14695292711257935,0.9685429334640503,0.8708823323249817,0.9550669193267822,0.8697478771209717,0.7666666507720947
